Time
2.981
2.995
2.899
3.086
2.954
2.917
3
2.966
2.907
2.87
2.879
2.875
3.047
2.871
2.871
2.883
2.87
2.98
2.89
2.868
2.868
2.878
2.875
2.834
2.818
2.878
