Time
1.619
1.386
1.357
1.37
1.356
1.352
1.373
1.354
1.35
1.345
1.345
1.371
0.987
0.855
0.824
0.819
0.818
0.817
0.816
0.815
0.817
0.817
0.82
0.816
0.818
0.817
0.817
0.816
0.815
0.817
0.814
0.816
0.816
0.818
0.815
0.816
0.816
0.816
0.818
0.816
0.818
0.817
0.816
0.816
0.817
