Modularity
0.43723
0.515829
0.51969
0.520886
0.521355
0.52157
0.52192
0.521939
0.521953
0.521967
0.521978
0.521987
0.521997
0.522004
0.522011
0.522016
0.52202
0.522023
0.522028
0.522031
0.522033
0.522036
0.522038
0.52204
0.522042
0.522045
0.522048
0.52205
0.715785
0.770614
0.788193
0.795635
0.799232
0.801028
0.802038
0.802635
0.803048
0.803364
0.803613
0.803818
0.804
0.804149
0.804291
0.804413
0.804537
0.804651
0.804744
0.804818
0.804895
0.804965
0.805023
0.80508
0.805132
0.805184
0.805221
0.805254
0.805286
0.805316
0.805347
0.805377
0.805404
0.897677
0.92079
0.927534
0.930517
0.931844
0.932462
0.932791
0.932992
0.933111
0.933192
0.933246
0.933287
0.933312
0.933333
0.933343
0.933353
0.933359
0.933367
0.933372
0.93338
0.933385
0.933388
0.933393
0.933397
0.933402
0.933405
0.933408
0.93341
0.933412
0.933415
0.933416
0.933417
0.933421
0.966502
0.974492
0.976661
0.977512
0.977826
0.977933
0.978004
0.978023
0.97804
0.978042
0.978051
0.978054
0.978054
0.98502
0.98619
0.986415
0.986495
0.986513
0.986522
0.986522
0.986998
0.987041
0.987046
0.987049
0.987049
0.987049
